"unitid","institution name","year","IC2011.Religious affiliation","DRVHR2011.Average salary equated to 9-month contracts of full-time instructional staff - all ranks","DRVIC2011.Percent admitted - total","DRVIC2011.Admissions yield - total","IC2011.SAT Critical Reading 25th percentile score","IC2011.SAT Critical Reading 75th percentile score","IC2011.SAT Math 25th percentile score","IC2011.SAT Math 75th percentile score","IC2011.ACT Composite 25th percentile score","IC2011.ACT Composite 75th percentile score","DRVGR2011.Graduation rate - bachelor's degree within 6 years, total","F1011_F2.Total expenses","F1011_F2.Instruction-Total amount","F1011_F2.Value of endowment assets at the end of the fiscal year"
"127556","Colorado Mesa University","2011","Not applicable","54080","80","47","430","530","440","550","18","23","25",,,
"127680","National American University-Colorado Springs","2011","Not applicable",,,,,,,,,,"0",,,
"128328","United States Air Force Academy","2011","Not applicable","81455","11","82","590","680","630","710","28","32","83",,,
"128780","Charter Oak State College","2011","Not applicable",,,,,,,,,,,,,
"128902","Connecticut College","2011","Not applicable","83960","32","29",,,,,,,"84","97595000","34935000","212622000"
"129774","Mitchell College","2011","Not applicable","64149","90","29",,,,,,,"47","24124397","4943559","6386559"
"130590","Trinity College","2011","Not applicable","87929","30","28","580","680","600","690","26","29","86","129289200","50457080","436652800"
"130624","United States Coast Guard Academy","2011","Not applicable","85771","16","78","550","640","590","670","25","29","83",,,
"130697","Wesleyan University","2011","Not applicable","94753","21","34","635","740","660","740","30","33","92","180772000","79338000","601478000"
"131098","Wesley College","2011","United Methodist","47386","20","63","370","470","370","470",,,"33","43498364","11724902","6140092"
"132602","Bethune-Cookman University","2011","United Methodist","50062","67","28","370","450","360","450","16","19","37","64907791","22311248","42486612"
"133492","Eckerd College","2011","Presbyterian Church (USA)","67164","68","20","510","620","500","610","22","28","63","66529431","26164218","47474771"
"133526","Edward Waters College","2011","African Methodist Episcopal","43029","23","62","330","420","310","400","14","17","18","21630325","3399656","1660594"
"133711","Flagler College-St Augustine","2011","Not applicable","58012","40","42","530","600","520","580","22","26","60","40443034","12507823","53380438"
"133979","Florida Memorial University","2011","Baptist","65051","33","24",,,,,,,"42","40822213","9467231","9759393"
"135610","Trinity International University-Florida","2011","Evangelical Free Church of America","52580",,,,,,,,,,"3284938","1017940","239175"
"138275","Warner University","2011","Church of God","45079","49","55","440","530","400","530","16","25","40","14762801","3287021","3858847"
"138293","Webber International University","2011","Not applicable","42658","55","48","415","500","440","520","17","21","32","11180106","2048811","4186168"
"138600","Agnes Scott College","2011","Presbyterian Church (USA)","72148","46","22",,,,,,,"65","49204332","15137468","259283516"
"138868","Point University","2011","Christian Churches and Churches of Christ","40726","47","70","420","500","410","520","17","21","39","11461342","4185122","3220368"
"139205","Brewton-Parker College","2011","Baptist","45071","95","47","400","500","390","500","14","20","19","12427578","3379721","14656247"
"139393","Covenant College","2011","The Presbyterian Church in America","57951","60","44","540","670","520","625","23","29","51","27890128","8436381","25085061"
"139630","Emmanuel College","2011","Pentecostal Holiness Church","44730","56","31","410","530","420","550",,,"36","11213045","3089163","3325826"
"140234","LaGrange College","2011","United Methodist","58135","59","31","450","540","450","560","20","23","48","27637769","11250421","57840256"
"140340","Herzing University-Atlanta","2011","Not applicable","49495","100","36",,,,,,,"17",,,
"140553","Morehouse College","2011","Not applicable","64244","62","37","460","590","470","580","19","25","55","95584551","25099512","139825000"
"140696","Oglethorpe University","2011","Not applicable","62816","45","13","540","640","520","615","22","27","48","23744818","7264436","19303307"
"140720","Paine College","2011","United Methodist","44984","69","14","340","430","330","450","14","18","27","21487596","8904604","9174894"
"140872","Reinhardt University","2011","United Methodist","52094","58","28","420","550","420","530",,,"47","22017973","7647422","41529380"
"140988","Shorter University","2011","Baptist","49657","65","32","420","550","430","550","18","24","47","35753845","8346816","22532849"
"141060","Spelman College","2011","Not applicable","66909","39","27","480","560","460","550","20","24","77","88714255","26262887","326928910"
"141185","Toccoa Falls College","2011","Christ and Missionary Alliance Church","46684","50","39","440","580","420","580","18","24","48","18241000","4035635","2761613"
"141237","Truett McConnell University","2011","Southern Baptist","44719","83","54","400","530","400","520","16","20","14","9002705","2358289","8396021"
"141325","Wesleyan College","2011","United Methodist","55703","56","35","470","600","460","600","18","25","52","15884938","5734967","60202412"
"141361","Young Harris College","2011","United Methodist","52501","58","29","450","560","440","548",,,,"26179219","7797540","110005926"
"141981","University of Hawaii-West Oahu","2011","Not applicable","73026","74","36","400","500","410","530","15","22",,,,
"142294","The College of Idaho","2011","Not applicable","50660","65","30","443","630","480","618","22","27","63","23109580","7033369","92572843"
"142328","Lewis-Clark State College","2011","Not applicable","48124","63","72","440","550","430","530","17","22","28",,,
"142522","Brigham Young University-Idaho","2011","Latter Day Saints (Mormon Church)","70267","99","53","470","570","460","570","20","25","52","178013000","101776000","69356000"
"143084","Augustana College","2011","Evangelical Lutheran Church","65814","62","25",,,,,,,"76","66940677","24235179","118922"
"143288","Blackburn College","2011","Presbyterian Church (USA)","49569","68","31",,,,,"18","23","48","11823448","3379565","11046875"
"144883","East-West University","2011","Not applicable","54794",,,,,,,,,"8","11726200","3394616",
"144971","Eureka College","2011","Christian Church (Disciples of Christ)","51419","72","22",,,,,"19","26","65","14720321","3813130","13802342"
"145646","Illinois Wesleyan University","2011","Not applicable","70359","61","25","540","670","590","740","25","30","82","72246430","31764976","187952948"
"145691","Illinois College","2011","Presbyterian Church (USA)","60872","65","27",,,,,,,"57","26891256","8384203","124899205"
"146393","Kendall College","2011","Not applicable","52884","98","45",,,,,,,"34",,,
"146427","Knox College","2011","Not applicable","63117","72","20",,,,,,,"78","45208596","18122410","84085106"
"146481","Lake Forest College","2011","Not applicable","70973","54","24",,,,,,,"68","47021904","14972588","70907176"
"146825","MacMurray College","2011","United Methodist","48153","71","22",,,,,,,"36","9878243","2994775","8229498"
"147244","Millikin University","2011","Presbyterian Church (USA)","57324","56","23","470","600","460","550","20","26","65","49074600","19562501","106158711"
"147341","Monmouth College","2011","Presbyterian Church (USA)","59568","65","24",,,,,"19","25","57","31030268","11258958","78675849"
"148016","Principia College","2011","Not applicable","60073","80","61","458","635","460","633","21","30",,"39644505","10837776","333639272"
"149505","Trinity Christian College","2011","Interdenominational","58530","85","34","480","610","470","580","20","27","64","30642903","14098437","8014874"
"149781","Wheaton College","2011","Undenominational","75403","65","45","610","710","610","690","27","32","87","107331699","36209013","322602852"
"150400","DePauw University","2011","United Methodist","76474","57","20","530","660","570","680","24","29","85","96449152","41290796","500920763"
"150455","Earlham College","2011","Friends","62281","68","21","490","660","510","620","24","30","66","48447744","19459248","335539987"
"150604","Franklin College","2011","American Baptist","58309","60","24","460","560","480","570","20","25","49","27188149","9069427","80756000"
"150668","Goshen College","2011","Mennonite Church","51946","60","41","500","580","490","580","22","27","73","28018360","9857004","99290676"
"150756","Hanover College","2011","Presbyterian Church (USA)","69347","67","15","510","620","510","610","22","28","71","32321677","14417052","137300936"
"150774","Holy Cross College","2011","Roman Catholic","45069","84","44","440","550","440","560","19","24","13","9610577","3658200","1260964"
"150941","Huntington University","2011","United Brethren Church","55361","88","29","450","570","460","560","21","27","62","25115578","9811580","20731864"
"151333","Indiana University-Kokomo","2011","Not applicable","55815","70","67","420","530","430","530","18","23","20",,,
"151777","Manchester University","2011","Church of Brethren","55397","64","18","430","550","450","570","19","25","51","26398025","6774473","42884000"
"151810","Martin University","2011","Not applicable","44657",,,,,,,,,"8","11285080","1681555",
"152099","Oakland City University","2011","Baptist","45761","69","75","410","525","430","540","18","23","64","31128588","6395748","4217704"
"152266","Purdue University-North Central Campus","2011","Not applicable","62268","71","53","430","540","440","540","18","23","17",,,
"152363","Saint Josephs College","2011","Roman Catholic","51025","60","24","410","520","430","530","18","25","58","22876495","6460760","20235133"
"152381","Saint Mary-of-the-Woods College","2011","Roman Catholic","46487","51","79","420","560","410","500","19","26","57","16155740","7532285","11069192"
"152390","Saint Mary's College","2011","Roman Catholic","64496","84","32","510","620","510","610","22","27","79","58798177","22584713","134760292"
"152530","Taylor University","2011","Interdenominational","55621","84","30","510","645","505","635","23","29","80","62467560","19841818","71098459"
"152567","Trine University","2011","Not applicable","54153","72","21","460","550","500","620","20","23","44","35166592","11709360","23181981"
"152673","Wabash College","2011","Not applicable","73981","63","32","508","610","540","650","22","27","75","49256471","13369429","340719611"
"152992","Briar Cliff University","2011","Roman Catholic","49640",,,,,,,,,"45","19510457","5753061","9790978"
"153001","Buena Vista University","2011","Presbyterian Church (USA)","64636","64","35",,,,,"20","25","55","45089518","17834586","124746037"
"153108","Central College","2011","Reformed Church in America","58042","73","21","430","560","460","610","21","26","63","46197756","17615013","73052581"
"153126","Clarke University","2011","Roman Catholic","53077","74","25","460","493","463","560","21","25","60","22939975","8066300","30825048"
"153144","Coe College","2011","Presbyterian Church (USA)","64827","64","23","490","650","520","660","24","28","69","34271689","16169927","81328698"
"153162","Cornell College","2011","United Methodist","64462","46","23","540","680","540","680","23","29","70","33338267","12498273","68152748"
"153250","Dordt College","2011","Christian Reformed Church","58770","80","39","470","590","480","580","21","27","60","30281194","11214398","26122457"
"153375","Grand View University","2011","Evangelical Lutheran Church","55574","93","40","380","460","420","490","19","23","41","29638082","10707855","15514212"
"153384","Grinnell College","2011","Not applicable","83096","45","34","600","720","610","710","28","32","88","97646000","36296000","1500220000"
"153621","Iowa Wesleyan University","2011","United Methodist","48346","64","16","448","520","460","523","18","22","25","14328526","4854055","12297104"
"153825","Loras College","2011","Roman Catholic","54775","76","31",,,"483","538","21","26","59","39979390","10485223","22001888"
"153834","Luther College","2011","Evangelical Lutheran Church","66308","72","24","440","625","510","640","24","29","69","74494135","31576720","117581196"
"154101","Northwestern College","2011","Reformed Church in America","55457","74","31","440","558","480","588","22","27","66","25532249","9226553","42660289"
"154350","Simpson College","2011","United Methodist","56213","85","30",,,,,"21","26","69","37614756","14290681","73035697"
"154518","Waldorf University","2011","Not applicable","46003","49","17","367","534","384","543","16","24","45",,,
"154527","Wartburg College","2011","Evangelical Lutheran Church","58331","76","29","403","540","440","635","21","26","63","50540976","16794077","49190421"
"154712","Benedictine College","2011","Roman Catholic","50730","59","23","470","640","490","620","21","27","56","30313978","8250125","16419494"
"154721","Bethany College","2011","Evangelical Lutheran Church","41806","60","31","400","510","450","520","19","25","42","11847876","3192136","23038379"
"154749","Bethel College-North Newton","2011","Other (none of the above)","47322","70","39","400","490","450","530","20","26","52","12084915","3231661","14438449"
"154855","Central Christian College of Kansas","2011","Free Methodist","29815",,,,,,,,,"41","6237739","1290178","7416031"
"155414","Kansas Wesleyan University","2011","United Methodist","49668","59","42","430","490","440","540","20","23","42","13483464","3850595","17597943"
"155511","McPherson College","2011","Church of Brethren","45497","57","32","400","490","460","520","18","24","46","14668980","4416311","31976427"
"155627","Ottawa University-Ottawa","2011","American Baptist","51618","95","47","420","530","430","520","18","24","47","40255322","10083159","18850474"
"155636","Ottawa University-Kansas City","2011","American Baptist","53823",,,,,,,,,,,,
"155937","Sterling College","2011","Not applicable","43257","49","27","420","520","410","520","19","25","48","12285478","2762970","13769096"
"155973","Tabor College","2011","Mennonite Brethren Church","39360","91","41","400","470","470","560","19","25","52","12724784","3177143","5304876"
"156189","Alice Lloyd College","2011","Not applicable","37946","33","24","440","530","470","600","20","22","45","11815112","2433001","28198004"
"156295","Berea College","2011","Not applicable","63259","12","71","495","640","483","588","22","27","62","67658991","21081523","978734900"
"156356","Brescia University","2011","Roman Catholic","44740","48","13",,,"420","470","19","24","32","10474233","3926820","10351168"
"156408","Centre College","2011","Presbyterian Church (USA)","67353","71","22","560","690","560","670","26","31","82","50573578","18501978","214120391"
"156745","Georgetown College","2011","Baptist","54467","88","19","450","570","450","560","21","27","59","38979477","10484095","43116045"
"157058","Kentucky State University","2011","Not applicable","55043","30","18","380","470","380","470","16","20","21",,,
"157076","Kentucky Wesleyan College","2011","United Methodist","47039","52","18","400","530","458","543","19","24","44","14510447","3364169","29298729"
"157100","Kentucky Christian University","2011","Christian Churches and Churches of Christ","41064","35","80",,,,,"18","22","44","15064691","2315502","4882493"
"157535","University of Pikeville","2011","Presbyterian Church (USA)","48868",,,,,,,,,"26","24881348","7751065","17956141"
"157818","Transylvania University","2011","Christian Church (Disciples of Christ)","74876","84","24","550","680","540","660","24","30","70","33530185","10754729","124764000"
"158477","Centenary College of Louisiana","2011","United Methodist","60306","63","34","478","600","490","600","21","27","58","27441459","9650055","122383013"
"158802","Dillard University","2011","United Methodist","56650","49","13","360","470","370","470","16","20","24","47958637","16142630","54789255"
"159382","Louisiana State University-Alexandria","2011","Not applicable","48943","61","63",,,,,"19","22","12",,,
"160065","University of Holy Cross","2011","Roman Catholic","45676","63","59",,,,,,,,"10659441","3936885","26229021"
"160959","College of the Atlantic","2011","Not applicable","61286","64","32",,,,,,,"71","20936414","4255288","32260682"
"160977","Bates College","2011","Not applicable","89955","27","36",,,,,,,"92","94083037","35788614","231451110"
"161004","Bowdoin College","2011","Not applicable","92759","16","46","670","750","660","740","30","33","92","128415000","44057000","904215000"
"161086","Colby College","2011","Not applicable","96017","29","31","620","710","630","710","28","32","91","106084000","37168000","611441000"
"161217","University of Maine at Augusta","2011","Not applicable","60260",,,,,,,,,"16",,,
"161226","University of Maine at Farmington","2011","Not applicable","57121","82","37",,,,,,,"59",,,
"161235","University of Maine at Fort Kent","2011","Not applicable","56485","87","36",,,,,,,"33",,,
"161244","University of Maine at Machias","2011","Not applicable","53673","79","43","410","530","400","510","17","24","38",,,
"161299","Maine Maritime Academy","2011","Not applicable",,"64","47","440","540","460","570","18","24","69",,,
"161341","University of Maine at Presque Isle","2011","Not applicable","56299",,,,,,,,,"30",,,
"161572","Unity College","2011","Not applicable","50038","61","28",,,,,,,"47","12177022","3956996","2804813"
"162654","Goucher College","2011","Not applicable","69766","73","15","530","650","500","620","23","29","70","65045000","28644325","188336000"
"163912","St Mary's College of Maryland","2011","Not applicable","70521","65","32","568","680","550","650","24","29","79",,,
"163921","Sojourner-Douglass College","2011","Not applicable","10853",,,,,,,,,"27","35520553","6308891",
"163976","St. John's College","2011","Not applicable","84804","78","45","640","730","570","680","25","30","69","27504177","9847834","77878854"
"164155","United States Naval Academy","2011","Not applicable","108069","7","86","560","680","600","700",,,"90",,,
"164216","Washington College","2011","Not applicable","72877","57","15","550","630","540","610","21","27","75","56633308","16904604","172026293"
"164270","McDaniel College","2011","Not applicable","63368","75","20","480","610","490","610","20","26","74","59818000","23102000","91263000"
"164465","Amherst College","2011","Not applicable","103909","13","41","660","760","660","770","30","34","96","140036273","44386523","1641510807"
"164720","Becker College","2011","Not applicable","66992","72","23","400","520","410","540","16","20","27","32651240","8239603","2374753"
"165671","Emmanuel College","2011","Roman Catholic","68273","56","15","490","590","490","580","21","26","63","57371102","15444260","64500600"
"165936","Gordon College","2011","Interdenominational","68050","40","26","524","665","513","651","22","28","74","52339609","16561816","26845277"
"166018","Hampshire College","2011","Not applicable","76953","71","20","590","700","540","650","25","29","61","50584164","18503127","39260394"
"166124","College of the Holy Cross","2011","Roman Catholic","85770","33","31",,,,,,,"91","144209406","53876573","607712689"
"166939","Mount Holyoke College","2011","Not applicable","87947","51","34",,,,,,,"85","123726894","49066158","617284353"
"166948","Mount Ida College","2011","Not applicable","63430","75","28","380","470","380","485","15","19","44","36601127","11542883","11726565"
"167251","Newbury College","2011","Not applicable","52640",,,,,,,,,"42","17245766","5001227","1600000"
"167288","Massachusetts College of Liberal Arts","2011","Not applicable","69524","67","27","440","560","450","550","19","23","53",,,
"167455","Pine Manor College","2011","Not applicable","52956","96","22","350","470","340","450","15","18","34","16473126","3432328","8831044"
"167792","Bard College at Simon's Rock","2011","Not applicable","69602","87","47",,,,,,,,"20469074","6429488","17610684"
"167835","Smith College","2011","Not applicable","104899","45","37",,,,,,,"85","196535363","81145809","1429527290"
"167996","Stonehill College","2011","Roman Catholic","74301","65","12","550","650","560","640","25","29","81","88341762","25649744","151225567"
"168218","Wellesley College","2011","Not applicable","106671","31","42","650","740","640","750","29","32","92","181126000","76813000","1523683000"
"168281","Wheaton College","2011","Not applicable","78329","62","22",,,,,,,"77","72019326","25212492","164947509"
"168342","Williams College","2011","Not applicable","109309","19","44","660","770","650","760","29","34","95","182630944","77430850","1755417770"
"168528","Adrian College","2011","United Methodist","63689","64","22",,,,,"19","24","49","38902579","11015178","22959880"
"168546","Albion College","2011","United Methodist","60284","69","26","520","630","570","670","22","28","68","46864363","17393717","168354268"
"168591","Alma College","2011","Presbyterian Church (USA)","65779","73","28","488","712","512","630","22","27","67","39776516","13339957","101187131"
"169080","Calvin College","2011","Christian Reformed Church","69479","75","40","500","650","530","660","23","29","77","120730539","55714270","112060479"
"169363","Concordia University-Ann Arbor","2011","Lutheran Church - Missouri Synod","37623","56","36","480","580","450","580","19","24","40","13030969","3490224","8235266"
"170286","Hillsdale College","2011",,,,,,,,,,,,,,
"170301","Hope College","2011","Reformed Church in America","65801","82","29","530","670","530","650","24","29","79","94295866","31476345","153813285"
"170532","Kalamazoo College","2011","Not applicable","67409","69","24","560","680","550","670","25","30","80","46482993","20621580","155218448"
"170639","Lake Superior State University","2011","Not applicable","54400","91","34","462","585","482","567","20","24","35",,,
"170967","Rochester College","2011","Churches of Christ","38040","63","41","430","538","483","533","18","24","42","13294850","4265241","1107383"
"171599","Olivet College","2011","United Church of Christ","47546","74","37",,,"430","510","18","23","46","17392266","5025333","12061344"
"171881","Kuyper College","2011","Other Protestant","48919","55","30",,,,,"20","25","48","6776306","2957825","7303730"
"172440","Finlandia University","2011","Evangelical Lutheran Church","45123","66","33",,,,,,,"35","13143479","4465612","3587275"
"173142","Bethany Lutheran College","2011","Other (none of the above)","48395","84","43",,,,,"21","27","53","17650017","6363425","37015377"
"173258","Carleton College","2011","Not applicable","90407","31","34","660","750","660","760","29","33","93","114341001","47813031","653465246"
"173300","Concordia College at Moorhead","2011","Evangelical Lutheran Church","63497","95","36","530","650","550","650","22","28","69","82860396","27395602","83501874"
"173647","Gustavus Adolphus College","2011","Evangelical Lutheran Church","59523","64","24","580","680","570","670","25","30","82","78165927","31873095","108942183"
"173902","Macalester College","2011","Presbyterian Church (USA)","85799","35","22","650","740","630","710","28","32","87","94066000","32772000","669005000"
"174075","University of Minnesota-Crookston","2011","Not applicable","59903","74","42","470","530","430","530","19","24","46",,,
"174251","University of Minnesota-Morris","2011","Not applicable","58736","62","32","510","650","510","650","23","28","60",,,
"174394","Sanford-Brown College-Mendota Heights","2011","Not applicable","42466",,,,,,,,,"40",,,
"174437","North Central University","2011","Assemblies of God Church","57258","71","53","450","580","420","590","19","25","40","22223799","6268421","2448397"
"174747","College of Saint Benedict","2011","Roman Catholic","69584","73","36","505","635","510","645","23","28","81","58834597","20832245","44596056"
"174792","Saint Johns University","2011","Roman Catholic","69548","74","40","450","673","488","640","22","29","80","69572592","23730282","144114446"
"174844","St Olaf College","2011","Evangelical Lutheran Church","73474","53","33","590","720","600","710","27","32","85","109036119","47067075","345973626"
"174862","Crown College","2011","Christ and Missionary Alliance Church","56289","78","45","508","600","475","598","21","25","51","17457644","3351266","6458031"
"175430","Blue Mountain College","2011","Southern Baptist","44368","52","54","500","650","410","560","18","24","50","8749021","4534198","10474665"
"175980","Millsaps College","2011","United Methodist","64262","61","21","510","650","545","650","23","29","66","37746018","13504677","97516055"
"176318","Rust College","2011","United Methodist","41776","46","14",,,,,"14","21","28","15950579","4754631","23948822"
"176406","Tougaloo College","2011","United Church of Christ","39164","35","19","320","490","300","500","15","20","48","25210977","4764181","9370847"
"176947","Central Methodist University-College of Liberal Arts and Sciences","2011","United Methodist","48780","63","35","410","480","410","500","20","24","43","22597054","10321751","31466906"
"177144","Culver-Stockton College","2011","Christian Church (Disciples of Christ)","47757","66","23","390","510","400","570","18","24","41","16153158","4981932","21090809"
"177542","Hannibal-LaGrange University","2011","Southern Baptist","41461","60","39","360","480","360","530","20","25","39","17705247","4565158","6083983"
"177551","Harris-Stowe State University","2011","Not applicable","47691",,,,,,,,,"8",,,
"178341","Missouri Southern State University","2011","Not applicable","56412","97","47",,,,,"18","24","33",,,
"178369","Missouri Valley College","2011","Presbyterian Church (USA)","41333","50","42","390","475","430","520","17","21","26","16350997","5344781","4535507"
"178387","Missouri Western State University","2011","Not applicable","59362",,,,,,,,,"27",,,
"178697","College of the Ozarks","2011","Presbyterian Church (USA)","59371","9","96","580","630","530","560","21","24","54","48636443","13411692","330524074"
"179946","Westminster College","2011","Presbyterian Church (USA)","53651","71","26","420","610","460","600","22","27","63","24642078","6916747","42231654"
"179955","William Jewell College","2011","Not applicable","59846","54","15","460","650","500","620","23","28","63","31155090","9360914","64853306"
"180106","Carroll College","2011","Roman Catholic","54520","72","30","500","600","500","610","22","27","59","53749339","9822420","29317953"
"180258","University of Providence","2011","Roman Catholic","43208",,,,,,,,,"29","14204655","3630742","8789436"
"180416","Montana Tech of the University of Montana","2011","Not applicable","57631","88","60","470","580","520","630","21","26","41",,,
"180522","Montana State University-Northern","2011","Not applicable","48447","64","94","460","508","440","530","17","22","19",,,
"180595","Rocky Mountain College","2011","United Church of Christ","51941","55","30","470","550","470","570","21","25","50","20004565","7360655","21707547"
"180692","The University of Montana-Western","2011","Not applicable","47282",,,,,,,,,"31",,,
"181020","Doane University-Arts & Sciences","2011","Not applicable","57147","83","27",,,,,"20","26","63","33957349","9884833","90982550"
"181093","Grace University","2011","Interdenominational","46523","57","51",,,,,"19","26","30","7516931","2441391","1680033"
"181127","Hastings College","2011","Presbyterian Church (USA)","56635","70","31","460","570","460","550","20","26","56","24828772","8492769","61750921"
"181330","Midland University","2011","Evangelical Lutheran Church","44290","54","34",,,"480","570","20","26","44","18710546","5111332","11651933"
"181738","Union College","2011","Seventh Day Adventists","51253","57","24",,,"430","580","19","25","33","25065950","7601565","12842446"
"181853","York College","2011","Churches of Christ","46370","84","29","440","540","420","560","18","24","31","9492741","1914940","7916894"
"182634","Colby-Sawyer College","2011","Not applicable","57171","83","16",,,,,,,"54","34169514","8952448","29070517"
"183071","University of New Hampshire at Manchester","2011","Not applicable","82259","69","69","460","580","460","570",,,"55",,,
"183239","Saint Anselm College","2011","Roman Catholic","69400","71","19",,,,,,,"73","61410601","21212405","94323460"
"183257","Granite State College","2011","Not applicable","45819",,,,,,,,,"45",,,
"183275","Thomas More College of Liberal Arts","2011","Roman Catholic","41053",,,,,,,,,"68","2460332","961142","32484"
"183822","Bloomfield College","2011","Presbyterian Church (USA)","75113","51","20","380","470","400","470",,,"32","39565079","15265897","10146915"
"184348","Drew University","2011","United Methodist","78377","84","13","500","630","500","610","21","28","68","90427139","33832694","191906000"
